Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene name	Gene Synonym
ENSG00000275290	CHR_HSCHR19_4_CTG3_1	54581134	54595774	LILRA2	LIR7
ENSG00000273884	CHR_HSCHR19LRC_COX2_CTG3_1	54294043	54306352	LILRA3	CD85e
ENSG00000278046	CHR_HSCHR19LRC_PGF2_CTG3_1	54294418	54306726	LILRA3	CD85e
ENSG00000276175	CHR_HSCHR19LRC_COX1_CTG3_1	54294163	54306461	LILRA3	CD85e
ENSG00000275841	CHR_HSCHR19_4_CTG3_1	54294391	54301485	LILRA3	CD85e
ENSG00000273884	CHR_HSCHR19LRC_COX2_CTG3_1	54294043	54306352	LILRA3	HM31
ENSG00000278046	CHR_HSCHR19LRC_PGF2_CTG3_1	54294418	54306726	LILRA3	HM31
ENSG00000276175	CHR_HSCHR19LRC_COX1_CTG3_1	54294163	54306461	LILRA3	HM31
ENSG00000275841	CHR_HSCHR19_4_CTG3_1	54294391	54301485	LILRA3	HM31
ENSG00000273884	CHR_HSCHR19LRC_COX2_CTG3_1	54294043	54306352	LILRA3	HM43
ENSG00000278046	CHR_HSCHR19LRC_PGF2_CTG3_1	54294418	54306726	LILRA3	HM43
ENSG00000276175	CHR_HSCHR19LRC_COX1_CTG3_1	54294163	54306461	LILRA3	HM43
ENSG00000275841	CHR_HSCHR19_4_CTG3_1	54294391	54301485	LILRA3	HM43
ENSG00000273884	CHR_HSCHR19LRC_COX2_CTG3_1	54294043	54306352	LILRA3	ILT6
ENSG00000278046	CHR_HSCHR19LRC_PGF2_CTG3_1	54294418	54306726	LILRA3	ILT6
ENSG00000276175	CHR_HSCHR19LRC_COX1_CTG3_1	54294163	54306461	LILRA3	ILT6
ENSG00000275841	CHR_HSCHR19_4_CTG3_1	54294391	54301485	LILRA3	ILT6
ENSG00000273884	CHR_HSCHR19LRC_COX2_CTG3_1	54294043	54306352	LILRA3	LIR-4
ENSG00000278046	CHR_HSCHR19LRC_PGF2_CTG3_1	54294418	54306726	LILRA3	LIR-4
ENSG00000276175	CHR_HSCHR19LRC_COX1_CTG3_1	54294163	54306461	LILRA3	LIR-4
ENSG00000275841	CHR_HSCHR19_4_CTG3_1	54294391	54301485	LILRA3	LIR-4
ENSG00000273884	CHR_HSCHR19LRC_COX2_CTG3_1	54294043	54306352	LILRA3	LIR4
ENSG00000278046	CHR_HSCHR19LRC_PGF2_CTG3_1	54294418	54306726	LILRA3	LIR4
ENSG00000276175	CHR_HSCHR19LRC_COX1_CTG3_1	54294163	54306461	LILRA3	LIR4
ENSG00000275841	CHR_HSCHR19_4_CTG3_1	54294391	54301485	LILRA3	LIR4
ENSG00000276798	CHR_HSCHR19LRC_COX2_CTG3_1	54315894	54346149	LILRA4	CD85g
ENSG00000274185	CHR_HSCHR19LRC_PGF2_CTG3_1	54316049	54346292	LILRA4	CD85g
ENSG00000277092	CHR_HSCHR19_4_CTG3_1	54341203	54347168	LILRA4	CD85g
ENSG00000276798	CHR_HSCHR19LRC_COX2_CTG3_1	54315894	54346149	LILRA4	ILT7
ENSG00000274185	CHR_HSCHR19LRC_PGF2_CTG3_1	54316049	54346292	LILRA4	ILT7
ENSG00000277092	CHR_HSCHR19_4_CTG3_1	54341203	54347168	LILRA4	ILT7
ENSG00000278355	CHR_HSCHR19LRC_COX2_CTG3_1	54314055	54320118	LILRA5	CD85
ENSG00000275404	CHR_HSCHR19LRC_PGF2_CTG3_1	54314236	54320273	LILRA5	CD85
ENSG00000274914	CHR_HSCHR19LRC_COX1_CTG3_1	54314131	54327636	LILRA5	CD85
ENSG00000274113	CHR_HSCHR19_4_CTG3_1	54315100	54321156	LILRA5	CD85
ENSG00000278355	CHR_HSCHR19LRC_COX2_CTG3_1	54314055	54320118	LILRA5	CD85f
ENSG00000275404	CHR_HSCHR19LRC_PGF2_CTG3_1	54314236	54320273	LILRA5	CD85f
ENSG00000274914	CHR_HSCHR19LRC_COX1_CTG3_1	54314131	54327636	LILRA5	CD85f
ENSG00000274113	CHR_HSCHR19_4_CTG3_1	54315100	54321156	LILRA5	CD85f
ENSG00000278355	CHR_HSCHR19LRC_COX2_CTG3_1	54314055	54320118	LILRA5	ILT11
ENSG00000275404	CHR_HSCHR19LRC_PGF2_CTG3_1	54314236	54320273	LILRA5	ILT11
ENSG00000274914	CHR_HSCHR19LRC_COX1_CTG3_1	54314131	54327636	LILRA5	ILT11
ENSG00000274113	CHR_HSCHR19_4_CTG3_1	54315100	54321156	LILRA5	ILT11
ENSG00000278355	CHR_HSCHR19LRC_COX2_CTG3_1	54314055	54320118	LILRA5	LILRB7
ENSG00000275404	CHR_HSCHR19LRC_PGF2_CTG3_1	54314236	54320273	LILRA5	LILRB7
ENSG00000274914	CHR_HSCHR19LRC_COX1_CTG3_1	54314131	54327636	LILRA5	LILRB7
ENSG00000274113	CHR_HSCHR19_4_CTG3_1	54315100	54321156	LILRA5	LILRB7
ENSG00000278355	CHR_HSCHR19LRC_COX2_CTG3_1	54314055	54320118	LILRA5	LIR9
ENSG00000275404	CHR_HSCHR19LRC_PGF2_CTG3_1	54314236	54320273	LILRA5	LIR9
ENSG00000274914	CHR_HSCHR19LRC_COX1_CTG3_1	54314131	54327636	LILRA5	LIR9
ENSG00000274113	CHR_HSCHR19_4_CTG3_1	54315100	54321156	LILRA5	LIR9
ENSG00000277177	CHR_HSCHR19LRC_PGF2_CTG3_1	54216894	54243483	LILRA6	CD85b
ENSG00000275584	CHR_HSCHR19LRC_COX1_CTG3_1	54238892	54243172	LILRA6	CD85b
ENSG00000275539	CHR_HSCHR19LRC_PGF1_CTG3_1	54239108	54243457	LILRA6	CD85b
ENSG00000274148	CHR_HSCHR19_4_CTG3_1	54237215	54243458	LILRA6	CD85b
ENSG00000277177	CHR_HSCHR19LRC_PGF2_CTG3_1	54216894	54243483	LILRA6	ILT8
ENSG00000275584	CHR_HSCHR19LRC_COX1_CTG3_1	54238892	54243172	LILRA6	ILT8
ENSG00000275539	CHR_HSCHR19LRC_PGF1_CTG3_1	54239108	54243457	LILRA6	ILT8
ENSG00000274148	CHR_HSCHR19_4_CTG3_1	54237215	54243458	LILRA6	ILT8
ENSG00000277177	CHR_HSCHR19LRC_PGF2_CTG3_1	54216894	54243483	LILRA6	LILRB6
ENSG00000275584	CHR_HSCHR19LRC_COX1_CTG3_1	54238892	54243172	LILRA6	LILRB6
ENSG00000275539	CHR_HSCHR19LRC_PGF1_CTG3_1	54239108	54243457	LILRA6	LILRB6
ENSG00000274148	CHR_HSCHR19_4_CTG3_1	54237215	54243458	LILRA6	LILRB6
ENSG00000276452	CHR_HSCHR19LRC_PGF2_CTG3_1	54388712	54389685	LILRB1	CD85
ENSG00000277807	CHR_HSCHR19LRC_PGF1_CTG3_1	54547681	54568080	LILRB1	CD85
ENSG00000274669	CHR_HSCHR19LRC_COX1_CTG3_1	54548949	54569575	LILRB1	CD85
ENSG00000277134	CHR_HSCHR19_4_CTG3_1	54638682	54645767	LILRB1	CD85
ENSG00000276452	CHR_HSCHR19LRC_PGF2_CTG3_1	54388712	54389685	LILRB1	CD85j
ENSG00000277807	CHR_HSCHR19LRC_PGF1_CTG3_1	54547681	54568080	LILRB1	CD85j
ENSG00000274669	CHR_HSCHR19LRC_COX1_CTG3_1	54548949	54569575	LILRB1	CD85j
ENSG00000277134	CHR_HSCHR19_4_CTG3_1	54638682	54645767	LILRB1	CD85j
ENSG00000276452	CHR_HSCHR19LRC_PGF2_CTG3_1	54388712	54389685	LILRB1	ILT2
ENSG00000277807	CHR_HSCHR19LRC_PGF1_CTG3_1	54547681	54568080	LILRB1	ILT2
ENSG00000274669	CHR_HSCHR19LRC_COX1_CTG3_1	54548949	54569575	LILRB1	ILT2
ENSG00000277134	CHR_HSCHR19_4_CTG3_1	54638682	54645767	LILRB1	ILT2
ENSG00000276452	CHR_HSCHR19LRC_PGF2_CTG3_1	54388712	54389685	LILRB1	LIR-1
ENSG00000277807	CHR_HSCHR19LRC_PGF1_CTG3_1	54547681	54568080	LILRB1	LIR-1
ENSG00000274669	CHR_HSCHR19LRC_COX1_CTG3_1	54548949	54569575	LILRB1	LIR-1
ENSG00000277134	CHR_HSCHR19_4_CTG3_1	54638682	54645767	LILRB1	LIR-1
ENSG00000276452	CHR_HSCHR19LRC_PGF2_CTG3_1	54388712	54389685	LILRB1	LIR1
ENSG00000277807	CHR_HSCHR19LRC_PGF1_CTG3_1	54547681	54568080	LILRB1	LIR1
ENSG00000274669	CHR_HSCHR19LRC_COX1_CTG3_1	54548949	54569575	LILRB1	LIR1
ENSG00000277134	CHR_HSCHR19_4_CTG3_1	54638682	54645767	LILRB1	LIR1
ENSG00000276452	CHR_HSCHR19LRC_PGF2_CTG3_1	54388712	54389685	LILRB1	MIR-7
ENSG00000277807	CHR_HSCHR19LRC_PGF1_CTG3_1	54547681	54568080	LILRB1	MIR-7
ENSG00000274669	CHR_HSCHR19LRC_COX1_CTG3_1	54548949	54569575	LILRB1	MIR-7
ENSG00000277134	CHR_HSCHR19_4_CTG3_1	54638682	54645767	LILRB1	MIR-7
ENSG00000276452	CHR_HSCHR19LRC_PGF2_CTG3_1	54388712	54389685	LILRB1	PIR-B
ENSG00000277807	CHR_HSCHR19LRC_PGF1_CTG3_1	54547681	54568080	LILRB1	PIR-B
ENSG00000274669	CHR_HSCHR19LRC_COX1_CTG3_1	54548949	54569575	LILRB1	PIR-B
ENSG00000277134	CHR_HSCHR19_4_CTG3_1	54638682	54645767	LILRB1	PIR-B
ENSG00000276452	CHR_HSCHR19LRC_PGF2_CTG3_1	54388712	54389685	LILRB1	PIRB
ENSG00000277807	CHR_HSCHR19LRC_PGF1_CTG3_1	54547681	54568080	LILRB1	PIRB
ENSG00000274669	CHR_HSCHR19LRC_COX1_CTG3_1	54548949	54569575	LILRB1	PIRB
ENSG00000277134	CHR_HSCHR19_4_CTG3_1	54638682	54645767	LILRB1	PIRB
ENSG00000274513	CHR_HSCHR19LRC_PGF2_CTG3_1	54274450	54281944	LILRB2	CD85d
ENSG00000277751	CHR_HSCHR19LRC_PGF1_CTG3_1	54274438	54278995	LILRB2	CD85d
ENSG00000276146	CHR_HSCHR19LRC_COX1_CTG3_1	54274195	54281689	LILRB2	CD85d
ENSG00000275463	CHR_HSCHR19_4_CTG3_1	54274422	54281786	LILRB2	CD85d
ENSG00000274513	CHR_HSCHR19LRC_PGF2_CTG3_1	54274450	54281944	LILRB2	ILT4
ENSG00000277751	CHR_HSCHR19LRC_PGF1_CTG3_1	54274438	54278995	LILRB2	ILT4
ENSG00000276146	CHR_HSCHR19LRC_COX1_CTG3_1	54274195	54281689	LILRB2	ILT4
ENSG00000275463	CHR_HSCHR19_4_CTG3_1	54274422	54281786	LILRB2	ILT4
ENSG00000274513	CHR_HSCHR19LRC_PGF2_CTG3_1	54274450	54281944	LILRB2	LIR-2
ENSG00000277751	CHR_HSCHR19LRC_PGF1_CTG3_1	54274438	54278995	LILRB2	LIR-2
ENSG00000276146	CHR_HSCHR19LRC_COX1_CTG3_1	54274195	54281689	LILRB2	LIR-2
ENSG00000275463	CHR_HSCHR19_4_CTG3_1	54274422	54281786	LILRB2	LIR-2
ENSG00000274513	CHR_HSCHR19LRC_PGF2_CTG3_1	54274450	54281944	LILRB2	LIR2
ENSG00000277751	CHR_HSCHR19LRC_PGF1_CTG3_1	54274438	54278995	LILRB2	LIR2
ENSG00000276146	CHR_HSCHR19LRC_COX1_CTG3_1	54274195	54281689	LILRB2	LIR2
ENSG00000275463	CHR_HSCHR19_4_CTG3_1	54274422	54281786	LILRB2	LIR2
ENSG00000274513	CHR_HSCHR19LRC_PGF2_CTG3_1	54274450	54281944	LILRB2	MIR-10
ENSG00000277751	CHR_HSCHR19LRC_PGF1_CTG3_1	54274438	54278995	LILRB2	MIR-10
ENSG00000276146	CHR_HSCHR19LRC_COX1_CTG3_1	54274195	54281689	LILRB2	MIR-10
ENSG00000275463	CHR_HSCHR19_4_CTG3_1	54274422	54281786	LILRB2	MIR-10
ENSG00000274513	CHR_HSCHR19LRC_PGF2_CTG3_1	54274450	54281944	LILRB2	MIR10
ENSG00000277751	CHR_HSCHR19LRC_PGF1_CTG3_1	54274438	54278995	LILRB2	MIR10
ENSG00000276146	CHR_HSCHR19LRC_COX1_CTG3_1	54274195	54281689	LILRB2	MIR10
ENSG00000275463	CHR_HSCHR19_4_CTG3_1	54274422	54281786	LILRB2	MIR10
ENSG00000277816	CHR_HSCHR19LRC_COX1_CTG3_1	54217107	54223520	LILRB3	CD85a
ENSG00000275019	CHR_HSCHR19LRC_PGF1_CTG3_1	54217293	54223789	LILRB3	CD85a
ENSG00000274587	CHR_HSCHR19_4_CTG3_1	54217271	54223706	LILRB3	CD85a
ENSG00000277816	CHR_HSCHR19LRC_COX1_CTG3_1	54217107	54223520	LILRB3	HL9
ENSG00000275019	CHR_HSCHR19LRC_PGF1_CTG3_1	54217293	54223789	LILRB3	HL9
ENSG00000274587	CHR_HSCHR19_4_CTG3_1	54217271	54223706	LILRB3	HL9
ENSG00000277816	CHR_HSCHR19LRC_COX1_CTG3_1	54217107	54223520	LILRB3	ILT5
ENSG00000275019	CHR_HSCHR19LRC_PGF1_CTG3_1	54217293	54223789	LILRB3	ILT5
ENSG00000274587	CHR_HSCHR19_4_CTG3_1	54217271	54223706	LILRB3	ILT5
ENSG00000277816	CHR_HSCHR19LRC_COX1_CTG3_1	54217107	54223520	LILRB3	LIR-3
ENSG00000275019	CHR_HSCHR19LRC_PGF1_CTG3_1	54217293	54223789	LILRB3	LIR-3
ENSG00000274587	CHR_HSCHR19_4_CTG3_1	54217271	54223706	LILRB3	LIR-3
ENSG00000277816	CHR_HSCHR19LRC_COX1_CTG3_1	54217107	54223520	LILRB3	LIR3
ENSG00000275019	CHR_HSCHR19LRC_PGF1_CTG3_1	54217293	54223789	LILRB3	LIR3
ENSG00000274587	CHR_HSCHR19_4_CTG3_1	54217271	54223706	LILRB3	LIR3
ENSG00000277816	CHR_HSCHR19LRC_COX1_CTG3_1	54217107	54223520	LILRB3	PIR-B
ENSG00000275019	CHR_HSCHR19LRC_PGF1_CTG3_1	54217293	54223789	LILRB3	PIR-B
ENSG00000274587	CHR_HSCHR19_4_CTG3_1	54217271	54223706	LILRB3	PIR-B
ENSG00000277816	CHR_HSCHR19LRC_COX1_CTG3_1	54217107	54223520	LILRB3	PIRB
ENSG00000275019	CHR_HSCHR19LRC_PGF1_CTG3_1	54217293	54223789	LILRB3	PIRB
ENSG00000274587	CHR_HSCHR19_4_CTG3_1	54217271	54223706	LILRB3	PIRB
ENSG00000278555	CHR_HSCHR19LRC_COX1_CTG3_1	54594151	54602395	LILRB4	CD85k
ENSG00000278279	CHR_HSCHR19LRC_PGF2_CTG3_1	54414251	54422496	LILRB4	CD85k
ENSG00000276042	CHR_HSCHR19LRC_PGF1_CTG3_1	54592642	54600251	LILRB4	CD85k
ENSG00000275730	CHR_HSCHR19_4_CTG3_1	54671018	54678557	LILRB4	CD85k
ENSG00000278555	CHR_HSCHR19LRC_COX1_CTG3_1	54594151	54602395	LILRB4	HM18
ENSG00000278279	CHR_HSCHR19LRC_PGF2_CTG3_1	54414251	54422496	LILRB4	HM18
ENSG00000276042	CHR_HSCHR19LRC_PGF1_CTG3_1	54592642	54600251	LILRB4	HM18
ENSG00000275730	CHR_HSCHR19_4_CTG3_1	54671018	54678557	LILRB4	HM18
ENSG00000278555	CHR_HSCHR19LRC_COX1_CTG3_1	54594151	54602395	LILRB4	ILT3
ENSG00000278279	CHR_HSCHR19LRC_PGF2_CTG3_1	54414251	54422496	LILRB4	ILT3
ENSG00000276042	CHR_HSCHR19LRC_PGF1_CTG3_1	54592642	54600251	LILRB4	ILT3
ENSG00000275730	CHR_HSCHR19_4_CTG3_1	54671018	54678557	LILRB4	ILT3
ENSG00000278555	CHR_HSCHR19LRC_COX1_CTG3_1	54594151	54602395	LILRB4	LIR-5
ENSG00000278279	CHR_HSCHR19LRC_PGF2_CTG3_1	54414251	54422496	LILRB4	LIR-5
ENSG00000276042	CHR_HSCHR19LRC_PGF1_CTG3_1	54592642	54600251	LILRB4	LIR-5
ENSG00000275730	CHR_HSCHR19_4_CTG3_1	54671018	54678557	LILRB4	LIR-5
ENSG00000278555	CHR_HSCHR19LRC_COX1_CTG3_1	54594151	54602395	LILRB4	LIR5
ENSG00000278279	CHR_HSCHR19LRC_PGF2_CTG3_1	54414251	54422496	LILRB4	LIR5
ENSG00000276042	CHR_HSCHR19LRC_PGF1_CTG3_1	54592642	54600251	LILRB4	LIR5
ENSG00000275730	CHR_HSCHR19_4_CTG3_1	54671018	54678557	LILRB4	LIR5
ENSG00000274311	CHR_HSCHR19LRC_PGF2_CTG3_1	54251046	54258245	LILRB5	CD85c
ENSG00000273991	CHR_HSCHR19LRC_PGF1_CTG3_1	54251026	54258210	LILRB5	CD85c
ENSG00000277414	CHR_HSCHR19LRC_COX1_CTG3_1	54250781	54257977	LILRB5	CD85c
ENSG00000278437	CHR_HSCHR19_4_CTG3_1	54251016	54257914	LILRB5	CD85c
ENSG00000274311	CHR_HSCHR19LRC_PGF2_CTG3_1	54251046	54258245	LILRB5	LIR-8
ENSG00000273991	CHR_HSCHR19LRC_PGF1_CTG3_1	54251026	54258210	LILRB5	LIR-8
ENSG00000277414	CHR_HSCHR19LRC_COX1_CTG3_1	54250781	54257977	LILRB5	LIR-8
ENSG00000278437	CHR_HSCHR19_4_CTG3_1	54251016	54257914	LILRB5	LIR-8
ENSG00000274311	CHR_HSCHR19LRC_PGF2_CTG3_1	54251046	54258245	LILRB5	LIR8
ENSG00000273991	CHR_HSCHR19LRC_PGF1_CTG3_1	54251026	54258210	LILRB5	LIR8
ENSG00000277414	CHR_HSCHR19LRC_COX1_CTG3_1	54250781	54257977	LILRB5	LIR8
ENSG00000278437	CHR_HSCHR19_4_CTG3_1	54251016	54257914	LILRB5	LIR8
ENSG00000064042	4	41359607	41700044	LIMCH1	DKFZP686A01247
ENSG00000064042	4	41359607	41700044	LIMCH1	LIMCH1A
ENSG00000064042	4	41359607	41700044	LIMCH1	LMO7B
ENSG00000136490	17	63695888	63701172	LIMD2	MGC10986
ENSG00000203896	20	63736283	63739103	LIME1	dJ583P15.4
ENSG00000203896	20	63736283	63739103	LIME1	FLJ20406
ENSG00000203896	20	63736283	63739103	LIME1	LIME
ENSG00000104863	19	49114324	49118460	LIN7B	LIN-7B
ENSG00000104863	19	49114324	49118460	LIN7B	MALS-2
ENSG00000104863	19	49114324	49118460	LIN7B	VELI2
ENSG00000148943	11	27494418	27506769	LIN7C	FLJ11215
ENSG00000148943	11	27494418	27506769	LIN7C	LIN-7-C
ENSG00000148943	11	27494418	27506769	LIN7C	LIN-7C
ENSG00000148943	11	27494418	27506769	LIN7C	MALS-3
ENSG00000148943	11	27494418	27506769	LIN7C	VELI3
ENSG00000187772	6	104936616	105083332	LIN28B	CSDD2
ENSG00000187772	6	104936616	105083332	LIN28B	FLJ16517
ENSG00000267796	19	35748361	35754519	LIN37	F25965
ENSG00000267796	19	35748361	35754519	LIN37	lin-37
ENSG00000267796	19	35748361	35754519	LIN37	ZK418.4
ENSG00000189308	4	82909973	83012926	LIN54	CXCDC1
ENSG00000189308	4	82909973	83012926	LIN54	DKFZp686L1814
ENSG00000189308	4	82909973	83012926	LIN54	JC8.6
ENSG00000189308	4	82909973	83012926	LIN54	MIP120
ENSG00000189308	4	82909973	83012926	LIN54	TCX1
ENSG00000231041	CHR_HSCHR6_MHC_MANN_CTG1	28943846	28944506	LINC01556	C6orf100
ENSG00000237634	CHR_HSCHR6_MHC_COX_CTG1	28940401	28941061	LINC01556	C6orf100
ENSG00000233566	CHR_HSCHR6_MHC_SSTO_CTG1	28944738	28945398	LINC01556	C6orf100
ENSG00000206526	CHR_HSCHR6_MHC_QBL_CTG1	28943865	28944525	LINC01556	C6orf100
ENSG00000237313	CHR_HSCHR6_MHC_MCF_CTG1	28944039	28944699	LINC01556	C6orf100
ENSG00000231041	CHR_HSCHR6_MHC_MANN_CTG1	28943846	28944506	LINC01556	dJ25J6.5
ENSG00000237634	CHR_HSCHR6_MHC_COX_CTG1	28940401	28941061	LINC01556	dJ25J6.5
ENSG00000233566	CHR_HSCHR6_MHC_SSTO_CTG1	28944738	28945398	LINC01556	dJ25J6.5
ENSG00000206526	CHR_HSCHR6_MHC_QBL_CTG1	28943865	28944525	LINC01556	dJ25J6.5
ENSG00000237313	CHR_HSCHR6_MHC_MCF_CTG1	28944039	28944699	LINC01556	dJ25J6.5
ENSG00000107798	10	89213569	89414557	LIPA	CESD
ENSG00000107798	10	89213569	89414557	LIPA	LAL
ENSG00000166035	15	58410569	58569844	LIPC	HL
ENSG00000166035	15	58410569	58569844	LIPC	HTGL
ENSG00000079435	19	42401514	42427388	LIPE	HSL
ENSG00000182333	10	88664441	88678814	LIPF	HGL
ENSG00000182333	10	88664441	88678814	LIPF	HLAL
ENSG00000101670	18	49560699	49599185	LIPG	EDL
ENSG00000163898	3	185506262	185552588	LIPH	LPDLR
ENSG00000163898	3	185506262	185552588	LIPH	mPA-PLA1
ENSG00000163898	3	185506262	185552588	LIPH	mPA-PLA1alpha
ENSG00000163898	3	185506262	185552588	LIPH	PLA1B
ENSG00000188992	21	14108813	14210955	LIPI	CT17
ENSG00000188992	21	14108813	14210955	LIPI	LPDL
ENSG00000188992	21	14108813	14210955	LIPI	mPA-PLA1beta
ENSG00000188992	21	14108813	14210955	LIPI	PLA1C
ENSG00000188992	21	14108813	14210955	LIPI	PRED5
ENSG00000204021	10	88706249	88752776	LIPK	bA186O14.2
ENSG00000204021	10	88706249	88752776	LIPK	LIPL2
ENSG00000173239	10	88802730	88820546	LIPM	bA304I5.1
ENSG00000173239	10	88802730	88820546	LIPM	LIPL3
ENSG00000204020	10	88759982	88779626	LIPN	bA186O14.3
ENSG00000204020	10	88759982	88779626	LIPN	LIPL4
ENSG00000145721	5	97091867	97142753	LIX1	C5orf11
ENSG00000145721	5	97091867	97142753	LIX1	Lft
ENSG00000171695	20	64083376	64084398	LKAAEAR1	C20orf201
ENSG00000275821	CHR_HSCHR7_2_CTG6	143000530	143002052	LLCFC1	C7orf34
ENSG00000275821	CHR_HSCHR7_2_CTG6	143000530	143002052	LLCFC1	CTM-1
ENSG00000284137	CHR_HSCHR17_3_CTG1	18225635	18244875	LLGL1	DLG4
ENSG00000284137	CHR_HSCHR17_3_CTG1	18225635	18244875	LLGL1	HUGL
ENSG00000284137	CHR_HSCHR17_3_CTG1	18225635	18244875	LLGL1	HUGL-1
ENSG00000284137	CHR_HSCHR17_3_CTG1	18225635	18244875	LLGL1	Lgl1
ENSG00000284137	CHR_HSCHR17_3_CTG1	18225635	18244875	LLGL1	LLGL
ENSG00000284137	CHR_HSCHR17_3_CTG1	18225635	18244875	LLGL1	Mgl1
ENSG00000074695	18	59327823	59359265	LMAN1	ERGIC-53
ENSG00000074695	18	59327823	59359265	LMAN1	ERGIC53
ENSG00000074695	18	59327823	59359265	LMAN1	F5F8D
ENSG00000074695	18	59327823	59359265	LMAN1	FMFD1
ENSG00000074695	18	59327823	59359265	LMAN1	gp58
ENSG00000074695	18	59327823	59359265	LMAN1	MCFD1
ENSG00000074695	18	59327823	59359265	LMAN1	MR60
ENSG00000140506	15	74812716	74825757	LMAN1L	ERGIC-53L
ENSG00000140506	15	74812716	74825757	LMAN1L	ERGL
ENSG00000168216	6	69672757	69867236	LMBRD1	bA810I22.1
ENSG00000168216	6	69672757	69867236	LMBRD1	C6orf209
ENSG00000168216	6	69672757	69867236	LMBRD1	cblF
ENSG00000168216	6	69672757	69867236	LMBRD1	FLJ11240
ENSG00000164187	5	36098407	36151887	LMBRD2	DKFZp434H2226
ENSG00000103227	16	853634	981318	LMF1	C16orf26
ENSG00000103227	16	853634	981318	LMF1	FLJ12681
ENSG00000103227	16	853634	981318	LMF1	FLJ22302
ENSG00000103227	16	853634	981318	LMF1	JFP11
ENSG00000103227	16	853634	981318	LMF1	TMEM112
ENSG00000103227	16	853634	981318	LMF1	TMEM112A
ENSG00000100258	22	50502949	50507702	LMF2	TMEM112B
ENSG00000100258	22	50502949	50507702	LMF2	TMEM153
ENSG00000176619	19	2427638	2456959	LMNB2	LMN2
ENSG00000275873	CHR_HSCHR11_1_CTG8	554854	560793	LMNTD2	C11orf35
ENSG00000275873	CHR_HSCHR11_1_CTG8	554854	560793	LMNTD2	MGC35138
ENSG00000136153	13	75620434	75859870	LMO7	FBX20
ENSG00000136153	13	75620434	75859870	LMO7	FBXO20
ENSG00000136153	13	75620434	75859870	LMO7	KIAA0858
ENSG00000164715	7	98106862	98209638	LMTK2	AATYK2
ENSG00000164715	7	98106862	98209638	LMTK2	BREK
ENSG00000164715	7	98106862	98209638	LMTK2	cprk
ENSG00000164715	7	98106862	98209638	LMTK2	KIAA1079
ENSG00000164715	7	98106862	98209638	LMTK2	KPI-2
ENSG00000164715	7	98106862	98209638	LMTK2	KPI2
ENSG00000164715	7	98106862	98209638	LMTK2	LMR2
ENSG00000164715	7	98106862	98209638	LMTK2	PPP1R100
ENSG00000162761	1	165201867	165356715	LMX1A	LMX1
ENSG00000162761	1	165201867	165356715	LMX1A	LMX1.1
ENSG00000136944	9	126613928	126701032	LMX1B	NPS1
ENSG00000206535	3	100401532	100456319	LNP1	NP3
ENSG00000113441	5	96935394	97037513	LNPEP	CAP
ENSG00000113441	5	96935394	97037513	LNPEP	IRAP
ENSG00000113441	5	96935394	97037513	LNPEP	P-LAP
ENSG00000113441	5	96935394	97037513	LNPEP	PLAP
ENSG00000144320	2	175923882	176002839	LNPK	KIAA1715
ENSG00000144320	2	175923882	176002839	LNPK	LNP
ENSG00000144320	2	175923882	176002839	LNPK	LNP1
ENSG00000144320	2	175923882	176002839	LNPK	Ul
ENSG00000139517	13	27545913	27620529	LNX2	MGC46315
ENSG00000139517	13	27545913	27620529	LNX2	PDZRN1
ENSG00000102910	16	48244300	48363122	LONP2	LONP
ENSG00000102910	16	48244300	48363122	LONP2	LONPL
ENSG00000102910	16	48244300	48363122	LONP2	MGC4840
ENSG00000285360	CHR_HG76_PATCH	12521983	12556166	LONRF1	FLJ23749
ENSG00000154359	8	12721906	12756073	LONRF1	FLJ23749
ENSG00000285360	CHR_HG76_PATCH	12521983	12556166	LONRF1	RNF191
ENSG00000154359	8	12721906	12756073	LONRF1	RNF191
ENSG00000175556	X	118974614	119018355	LONRF3	FLJ22612
ENSG00000175556	X	118974614	119018355	LONRF3	RNF127
ENSG00000167210	18	46476972	46657220	LOXHD1	DFNB77
ENSG00000167210	18	46476972	46657220	LOXHD1	FLJ32670
ENSG00000167210	18	46476972	46657220	LOXHD1	LH2D1
ENSG00000129038	15	73925989	73952137	LOXL1	LOL
ENSG00000129038	15	73925989	73952137	LOXL1	LOXL
ENSG00000134013	8	23296897	23425328	LOXL2	LOR
ENSG00000134013	8	23296897	23425328	LOXL2	WS9-14
ENSG00000138131	10	98247690	98268194	LOXL4	FLJ21889
ENSG00000138131	10	98247690	98268194	LOXL4	LOXC
ENSG00000198670	6	160531482	160664275	LPA	LP
ENSG00000198670	6	160531482	160664275	LPA	Lp(a)
ENSG00000171517	1	84811602	84893206	LPAR3	Edg-7
ENSG00000171517	1	84811602	84893206	LPAR3	EDG7
ENSG00000171517	1	84811602	84893206	LPAR3	HOFNH30
ENSG00000171517	1	84811602	84893206	LPAR3	LP-A3
ENSG00000171517	1	84811602	84893206	LPAR3	LPA3
ENSG00000171517	1	84811602	84893206	LPAR3	RP4-678I3
ENSG00000147145	X	78747709	78758714	LPAR4	GPR23
ENSG00000147145	X	78747709	78758714	LPAR4	LPA4
ENSG00000147145	X	78747709	78758714	LPAR4	P2RY9
